Europe & Central Asia (excluding high income),ECA,18783.4103349753
Europe & Central Asia,ECS,31022.8848461496
Ecuador,ECU,11286.1741256817
"Egypt, Arab Rep.",EGY,11131.7164792006
Euro area,EMU,41998.6730527306
Eritrea,ERI,
Spain,ESP,36309.8442996679
Estonia,EST,29364.7211075816
Ethiopia,ETH,1734.91823271254
European Union,EUU,39629.4957193508
Fragile and conflict affected situations,FCS,4208.20473678043
Finland,FIN,43052.7267960367
Fiji,FJI,9560.52499991218
France,FRA,41466.26571099
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3593.22803351383
Gabon,GAB,18107.599416312
United Kingdom,GBR,42608.9193881373
Georgia,GEO,9996.93541530215
Ghana,GHA,4293.57284988831
Gibraltar,GIB,
Guinea,GIN,1310.68720399983
"Gambia, The",GMB,1689.07558990448
Guinea-Bissau,GNB,1581.71042481489
Equatorial Guinea,GNQ,25535.1059252948
Greece,GRC,26783.0245740957
Grenada,GRD,13927.5034361175
Greenland,GRL,
Guatemala,GTM,7946.7716191709
Guam,GUM,
Guyana,GUY,7818.90052217405
High income,HIC,46704.303305856
"Hong Kong SAR, China",HKG,58552.7122159011
Honduras,HND,4738.07945322958
Heavily indebted poor countries (HIPC),HPC,2246.44179150652
Croatia,HRV,23596.2449105811
Haiti,HTI,1784.18218385879
Hungary,HUN,26680.5940951166
IBRD only,IBD,12873.1587890414
IDA & IBRD total,IBT,10537.786220965
IDA total,IDA,3611.29894733302
IDA blend,IDB,5173.06248446874
Indonesia,IDN,11612.0663702218
IDA only,IDX,2822.84259489203
Isle of Man,IMN,
India,IND,6572.33671915852
Not classified,INX,
Ireland,IRL,68882.8783393081
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,17353.4792391283
Iceland,ISL,51398.9265058342
Israel,ISR,37901.346968742
Italy,ITA,38160.6735857953
Jamaica,JAM,8834.81908442542
Jordan,JOR,9050.07196393397
Japan,JPN,41469.854706882
Kazakhstan,KAZ,25263.8102423808
Kenya,KEN,3155.9404101997
Kyrgyz Republic,KGZ,3551.1527042382
Cambodia,KHM,3735.47862256902
Kiribati,KIR,2047.23161072734
St. Kitts and Nevis,KNA,26685.9941813603
"Korea, Rep.",KOR,35750.7699774741
Kuwait,KWT,
Latin America & Caribbean (excluding high income),LAC,14920.6266068962
Lao PDR,LAO,6186.08416192743
Lebanon,LBN,13995.6522458965
Liberia,LBR,812.886737228473
Libya,LBY,
St. Lucia,LCA,11545.7758400309
Latin America & Caribbean,LCN,15418.2207365869
Least developed countries: UN classification,LDC,2612.9765467142
Low income,LIC,1683.43806337798
Liechtenstein,LIE,
Sri Lanka,LKA,12316.1641146685
Lower middle income,LMC,6799.76243430852
Low & middle income,LMY,10349.0383259649
Lesotho,LSO,3029.33543067051
Late-demographic dividend,LTE,16624.2679783391
Lithuania,LTU,29966.1270713204
Luxembourg,LUX,105881.760468819
Latvia,LVA,26031.0044191131
"Macao SAR, China",MAC,104168.75114473
St. Martin (French part),MAF,
Morocco,MAR,7837.90443755528
Monaco,MCO,
Moldova,MDA,5333.6149245527
Madagascar,MDG,1506.00934478958
Maldives,MDV,13198.8800346591
Middle East & North Africa,MEA,19074.0910115239
Mexico,MEX,17861.5687041349
Marshall Islands,MHL,4072.35448710441
Middle income,MIC,11381.7759444435
"Macedonia, FYR",MKD,15121.2516500719
Mali,MLI,2117.21817757369
Malta,MLT,37899.2106346291
Myanmar,MMR,5772.89539426813
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,16853.8285723696
Mongolia,MNG,12220.3934758653
Northern Mariana Islands,MNP,
Mozambique,MOZ,1217.11139675526
Mauritania,MRT,3853.53466340049
Mauritius,MUS,21087.7491522667
Malawi,MWI,1169.31373859143
Malaysia,MYS,27680.7686658368
North America,NAC,56110.0077181769
Namibia,NAM,10584.9628126579
New Caledonia,NCL,
Niger,NER,978.402191092671
Nigeria,NGA,5867.14198475927
Nicaragua,NIC,5541.27728373011
Netherlands,NLD,50898.0886881754
Norway,NOR,59301.6702424305
Nepal,NPL,2467.8411385915
Nauru,NRU,13970.1543111916
New Zealand,NZL,39058.692397308
OECD members,OED,41730.2359592969
Oman,OMN,
Other small states,OSS,25022.274429892
Pakistan,PAK,5249.28803647885
Panama,PAN,23014.6900372977
Peru,PER,13022.0174508086
Philippines,PHL,7806.21127231689
Palau,PLW,15373.2592430421
Papua New Guinea,PNG,
Poland,POL,27810.5166270706
Pre-demographic dividend,PRE,3757.49737405517
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,30624.174693878
Paraguay,PRY,9576.56165397042
West Bank and Gaza,PSE,2943.4045337363
Pacific island small states,PSS,5860.97608591817
Post-demographic dividend,PST,44602.1595413659
French Polynesia,PYF,
Qatar,QAT,127522.67114511
Romania,ROU,23626.3727392758
Russian Federation,RUS,23162.6321649902
Rwanda,RWA,1913.40206286061
South Asia,SAS,6063.65767796939
Saudi Arabia,SAU,54430.8611304081
Sudan,SDN,4730.29205840122
Senegal,SEN,2567.8004203749
Singapore,SGP,87855.5849086959
Solomon Islands,SLB,2235.89999319021
Sierra Leone,SLE,1473.40380549676
El Salvador,SLV,8619.06867413249
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,14511.7914547741
Sub-Saharan Africa (excluding high income),SSA,3708.48257937056
South Sudan,SSD,
Sub-Saharan Africa,SSF,3710.74495722037
Small states,SST,22035.1173673503
Sao Tome and Principe,STP,3229.05807782822
Suriname,SUR,14146.3426421142
Slovak Republic,SVK,30631.9539077729
Slovenia,SVN,32884.5388880874
Sweden,SWE,49174.8637913576
Swaziland,SWZ,8342.70963857173
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,28391.3283528955
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,1991.24791620327
East Asia & Pacific (IDA & IBRD countries),TEA,13999.9832487663
Europe & Central Asia (IDA & IBRD countries),TEC,19535.6750290358
Togo,TGO,1490.92652300342
Thailand,THA,16916.4804764852
Tajikistan,TJK,2980.09035212534
Turkmenistan,TKM,16880.4066171036
Latin America & the Caribbean (IDA & IBRD countries),TLA,15328.7022697357
Timor-Leste,TLS,
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,5752.31063664872
South Asia (IDA & IBRD),TSA,6063.65767796939
Sub-Saharan Africa (IDA & IBRD countries),TSS,3710.74495722037
Trinidad and Tobago,TTO,31907.7777183365
Tunisia,TUN,11598.5485890991
Turkey,TUR,24243.923986551
Tuvalu,TUV,3651.97748038975
Tanzania,TZA,2786.66671928576
Uganda,UGA,1848.78675745873
Ukraine,UKR,8271.77997863005
Upper middle income,UMC,16746.1446377839
Uruguay,URY,21625.2688882035
United States,USA,57466.7871132348
Uzbekistan,UZB,6514.32607086886
St. Vincent and the Grenadines,VCT,11605.6102904665
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6424.13376836674
Vanuatu,VUT,3081.37238054686
World,WLD,16143.0555491573
Samoa,WSM,6345.26411869547
Kosovo,XKX,10066.3936052309
"Yemen, Rep.",YEM,2508.12822772145
South Africa,ZAF,13225.4372256793
Zambia,ZMB,3922.33530885677
Zimbabwe,ZWE,2006.37472372672
